correction_count,coverage_ratio,hallucination_suspected,issues,manifest_artifact_count,manifest_hash_mismatches,manifest_missing_artifacts,manifest_raw_hash_mismatches,package_ok,paragraph_count,paragraph_max_chars,paragraph_median_chars,paragraph_min_chars,path,quality_flags,quality_score,quality_state,repetition_detected,segment_bad_rows,segment_count,segment_count_reported,segment_empty_text,segment_overlaps,segment_total_duration,transcript_chars,transcript_segment_char_ratio,transcript_segment_token_jaccard,transcript_words,video_id,warnings
0,0.23752969121140144,False,,5,0,0,0,True,1,9,9,9,scripts/ingestion/corpus/-0O6WmxU3pw,"[""low_speech_interval_coverage_estimate=0.238""]",0.5,needs_review,False,0,1,1,0,0,2.0,9,1.0,1.0,3,-0O6WmxU3pw,most_paragraphs_outside_300_500_chars
0,0.9924428490459097,False,,5,0,0,0,True,2,411,272.0,133,scripts/ingestion/corpus/-4qvpm4Rd6Q,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,7,7,0,0,52.53,546,1.0,1.0,93,-4qvpm4Rd6Q,
2,0.9929827957509619,False,,5,0,0,0,True,2,426,377.0,328,scripts/ingestion/corpus/-4wCvcPrX-E,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,18,18,0,0,410.37,756,1.0,1.0,134,-4wCvcPrX-E,
0,0.8477366255144032,False,,5,0,0,0,True,1,3,3,3,scripts/ingestion/corpus/-LK01oo7MAw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,1,1,0,0,2.06,3,1.0,1.0,1,-LK01oo7MAw,most_paragraphs_outside_300_500_chars
0,0.8279381012128816,False,,5,0,0,0,True,1,457,457,457,scripts/ingestion/corpus/-YQLpNmH0MQ,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,29,29,0,0,98.97999999999999,457,1.0,1.0,121,-YQLpNmH0MQ,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/-dzlXEIkqkI,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,unavailable,False,0,0,0,0,0,0.0,,,,,-dzlXEIkqkI,
1,0.9990471199199581,False,,5,0,0,0,True,4,495,417.5,344,scripts/ingestion/corpus/-i-QFyNg8Io,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,26,26,0,0,209.69,1680,1.0,1.0,314,-i-QFyNg8Io,
0,0.9657822699515688,False,,5,0,0,0,True,3,467,419,346,scripts/ingestion/corpus/-pBQ6Sy444o,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,12,12,0,0,91.73,1236,1.0,1.0,224,-pBQ6Sy444o,
0,0.9751542575071988,False,,5,0,0,0,True,2,371,362.5,354,scripts/ingestion/corpus/-u6ZDfHdB54,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,18,18,0,0,118.53,727,1.0,1.0,143,-u6ZDfHdB54,
1,0.994535519125683,False,,5,0,0,0,True,1,16,16,16,scripts/ingestion/corpus/-vboUHsZ2KM,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,1,1,0,0,14.56,16,1.0,1.0,3,-vboUHsZ2KM,most_paragraphs_outside_300_500_chars
0,1.0,False,,5,0,0,0,True,4,448,395.0,31,scripts/ingestion/corpus/-wAUE5rcxis,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,25,25,0,0,98.99,1275,1.0,1.0,247,-wAUE5rcxis,
0,0.9114267129228102,False,,5,0,0,0,True,3,431,392,168,scripts/ingestion/corpus/-yGLiryVQoQ,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,11,11,0,0,84.07000000000001,995,1.0,1.0,175,-yGLiryVQoQ,
0,1.0,False,,5,0,0,0,True,4,384,370.5,221,scripts/ingestion/corpus/05wF2qqUVnI,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,20,20,0,0,107.67,1352,1.0,1.0,243,05wF2qqUVnI,
1,1.0,False,,5,0,0,0,True,5,398,365,134,scripts/ingestion/corpus/07NOYJmkkFo,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,14,14,0,0,115.52,1640,1.0,1.0,299,07NOYJmkkFo,
0,1.0,False,,5,0,0,0,True,7,417,361,50,scripts/ingestion/corpus/09d8aVgYOqQ,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,45,45,0,0,225.54,2308,1.0,1.0,433,09d8aVgYOqQ,
0,0.9600265094701594,False,,5,0,0,0,True,6,448,394.0,364,scripts/ingestion/corpus/0Fa4Wyv0GOk,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,54,54,0,0,275.23,2400,1.0,1.0,428,0Fa4Wyv0GOk,
0,0.9495515695067265,False,,5,0,0,0,True,2,417,407.0,397,scripts/ingestion/corpus/0Spa0u4IyLE,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,11,11,0,0,59.29,816,1.0,1.0,142,0Spa0u4IyLE,
0,0.8769132653061221,False,,5,0,0,0,True,1,443,443,443,scripts/ingestion/corpus/0YfmJqftSLE,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,5,5,0,0,41.249999999999986,443,1.0,1.0,80,0YfmJqftSLE,
0,0.9976688134655656,False,,5,0,0,0,True,9,462,384,169,scripts/ingestion/corpus/0k5f8G9uXqY,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,86,86,0,0,505.0,3397,1.0,1.0,618,0k5f8G9uXqY,
0,0.9984944293887382,False,,5,0,0,0,True,1,351,351,351,scripts/ingestion/corpus/0m64VFmniGI,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,5,5,0,0,33.16,351,1.0,1.0,66,0m64VFmniGI,
0,1.0,False,,5,0,0,0,True,1,191,191,191,scripts/ingestion/corpus/0poMFCoAhkM,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,4,4,0,0,22.19,191,1.0,1.0,34,0poMFCoAhkM,most_paragraphs_outside_300_500_chars
0,0.9081227149896678,False,,5,0,0,0,True,2,670,346.5,23,scripts/ingestion/corpus/0u9oe-5HPmk,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,10,10,0,0,57.129999999999995,695,1.0,1.0,106,0u9oe-5HPmk,most_paragraphs_outside_300_500_chars
0,0.7979929381155919,False,,5,0,0,0,True,2,361,284.0,207,scripts/ingestion/corpus/0va0izWG0Hc,"[""low_speech_interval_coverage_estimate=0.798""]",0.5,needs_review,False,0,8,8,0,0,42.940000000000005,570,1.0,1.0,99,0va0izWG0Hc,
1,0.9854795063032142,False,,5,0,0,0,True,9,472,382,95,scripts/ingestion/corpus/0ypG1mlekNY,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,59,59,0,0,298.61999999999995,3357,1.0,1.0,577,0ypG1mlekNY,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/16UXpd5BstM,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,16UXpd5BstM,
