clip,listen,start_s,end_s,text_hint,speaker
1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=86s,86.9,91.0,"It's about, we want to tell people and teach people and give this gift of Buddha living",
2,https://www.youtube.com/watch?v=UlOt31lBhLY&t=800s,800.5,804.0,"And when you see the truth, automatically Beautiful State comes in.",
3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=702s,702.4,708.8,"out of which 85% of them are negative thoughts, 85% of them are repetitive thoughts and out",
4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1589s,1589.9,1595.4,"own selves, our own personal relationships or our work or our careers, but really our",
5,https://www.youtube.com/watch?v=UlOt31lBhLY&t=945s,945.5,949.1,Do we want to go into the Confucius example because I think that that might help explain,
6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1537s,1537.7,1540.5,We really do not know what we want many times.,
7,https://www.youtube.com/watch?v=UlOt31lBhLY&t=808s,808.1,812.6,"And then when you're able to see the problem very crystal clear, there is a tremendous",
8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1087s,1087.3,1092.5,"Yes, it's not dynamic, it's not flexible and there's no spontaneity or heart or universal",
9,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1660s,1660.3,1667.0,So it is very important to nurture the state and to cultivate as a way of life.,
10,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1418s,1418.8,1424.5,"In the first step, if you see throughout ages, we've always said we need to connect to our",
11,https://www.youtube.com/watch?v=UlOt31lBhLY&t=500s,500.9,503.2,We all experience challenges in our life.,
12,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1584s,1584.9,1589.9,So I'd like to end with just talking about how this work is not really just about our,
13,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1190s,1190.8,1216.5,"Please close your eyes, bring your attention to your breath, identify the exact emotion",
14,https://www.youtube.com/watch?v=UlOt31lBhLY&t=995s,995.8,1000.7,"On listening to this, Confucius jailed the boy and released the father and I always",
15,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1557s,1557.9,1563.7,"Because we're coming from this place of anxiety and desperation, we do not know what we want.",
16,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1519s,1519.5,1525.7,"What is very important here is not from a place of desperation, but seeing that you",
17,https://www.youtube.com/watch?v=UlOt31lBhLY&t=443s,443.7,450.3,revolved about what we can show off to others and how much we can achieve.,
18,https://www.youtube.com/watch?v=UlOt31lBhLY&t=711s,711.9,718.2,That negativity bias in our mind which is built in ancient circuitry that was designed,
19,https://www.youtube.com/watch?v=UlOt31lBhLY&t=936s,936.2,940.0,"but because you want to feel right or you want to feel great, you want to feel that you're",
20,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1360s,1360.5,1366.1,You guys look even more glowy than you did before.,
21,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1693s,1693.1,1697.4,"It's not just an ideal again, it's not just a belief, but we have to live it.",
22,https://www.youtube.com/watch?v=UlOt31lBhLY&t=65s,65.2,69.4,"For us, living in a transformed state of consciousness is not the be all of life.",
23,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1012s,1012.8,1017.4,Because you're so used to feeling being honest is right.,
24,https://www.youtube.com/watch?v=UlOt31lBhLY&t=635s,635.3,639.0,"home and tell my parents or tell my wife, what are my friends going to think about me",
25,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1490s,1490.4,1494.8,"So opening ourselves up to it, really putting awareness even around the center of our heart.",
26,https://www.youtube.com/watch?v=UlOt31lBhLY&t=102s,102.1,104.9,"We feel if we get more wealthier, we'll become more happier.",
27,https://www.youtube.com/watch?v=UlOt31lBhLY&t=696s,696.9,702.4,"There is this data today which shows that we think around 12,000 to 60,000 thoughts a day",
28,https://www.youtube.com/watch?v=UlOt31lBhLY&t=581s,581.1,587.9,"It is extremely important that we bring attention to our inner state and what we teach the participants,",
29,https://www.youtube.com/watch?v=UlOt31lBhLY&t=453s,453.6,456.9,to yourself and you can also be nurturing to others.,
30,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1568s,1568.4,1571.5,"when you are connecting with the universal intelligence, you clearly move to a beautiful",
31,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1168s,1168.7,1170.8,attention to your thinking.,
32,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1725s,1725.0,1727.9,"become a very, very peaceful place.",
33,https://www.youtube.com/watch?v=UlOt31lBhLY&t=474s,474.3,480.9,up and the baby's crying and I just learned that my transmissions broke and the absolutely,
34,https://www.youtube.com/watch?v=UlOt31lBhLY&t=388s,388.2,391.9,"doing or you're just conflicted, not knowing what you're going to do with your life.",
35,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1082s,1082.9,1087.3,"the same song, not taking into consideration what the environment needs.",
36,https://www.youtube.com/watch?v=UlOt31lBhLY&t=119s,119.3,122.5,And happiness is something that's enjoyed within here.,
37,https://www.youtube.com/watch?v=UlOt31lBhLY&t=104s,104.9,109.0,"If we look more beautiful, we'll become more happier, more healthier, more happier.",
38,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1635s,1635.6,1644.1,"for the future generations, it is extremely important that we nurture a Beautiful State.",
39,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1271s,1271.2,1284.3,"Are you obsessed over your past, are you obsessed over your future or are you in the present",
