time,start_s,end_s,listen,text,speaker
2:00,120.0,126.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=120s,something that's enjoyed within here. So it is very important that we first learn to live in a,
2:06,126.1,133.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=126s,"beautiful state which means learning to live in a state of joy, happiness, calm, peace and from",
2:13,133.0,137.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=132s,"there nurture our life, from there build our life, from there build our relationships, from",
2:17,137.4,141.8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=137s,"there build our wealth, from there build our success, from there have a vision for our health,",
2:21,141.8,147.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=141s,"for anything in life external. We need to come from a beautiful state, we need to come from",
2:27,147.0,152.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=146s,"this place of inner calm, we need to come from this place of inner fulfillment. Then everything you do",
2:32,152.3,158.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=152s,has a meaning as a purpose and those actions are very beautiful actions because now you're not,
2:39,159.5,169.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=159s,"trying to make yourself, trying to make yourself, you're not craving for happiness but instead",
2:49,169.3,174.5,https://www.youtube.com/watch?v=UlOt31lBhLY&t=169s,you are actually happy and doing things from that state. So it is very important that we,
2:54,174.5,178.8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=174s,understand that the external world and the inner world has to come together which means,
2:59,179.9,184.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=179s,you have to have this gift of Buddha driving a Benz where Buddha is the inner state and driving,
3:04,184.6,190.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=184s,the Benz is your external success in the world. I think one of the most beautiful stories in,
3:10,190.6,196.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=190s,the book which illustrates really the contrast between what you guys have framed as a suffering,
3:16,196.3,201.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=196s,state right versus a beautiful state is the story of the two monks. Do you want to tell,
3:21,201.4,209.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=201s,"that? Sure. Two monks, we just named them Yasmine and Nomi. They're returning back to the monastery",
3:29,209.0,214.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=208s,and on the way they have to cross a river and just as they're about to cross the river they hear,
3:34,214.1,219.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=214s,a woman crying. So Yasmine goes up to her and asks her what was troubling her. She actually has,
3:39,219.0,223.2,https://www.youtube.com/watch?v=UlOt31lBhLY&t=218s,to cross the river but the river is so full so she's fearing that she'll not be able to get,
3:43,223.2,228.7,https://www.youtube.com/watch?v=UlOt31lBhLY&t=223s,back to her toddler and she's fearing that he would cry for her all night. So Yasmine,
3:48,228.7,233.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=228s,offers to help her so he carries her and leaves her on the other side of the bank,
3:53,233.1,238.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=233s,and Yasmine and Nomi continue on the walk towards the monastery and after half an hour into the,
3:58,238.0,243.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=238s,walk Nomi in a very agitated tone speaks up you know what would you have done and Yasmine says,
4:03,243.4,251.2,https://www.youtube.com/watch?v=UlOt31lBhLY&t=243s,this is very calm yes he says no you carried the woman. Yasmine is like so Amasa said never,
4:11,251.2,255.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=251s,look at a woman you went and spoke to her. Amasa said never speak to a woman you touched,
4:15,255.0,258.9,https://www.youtube.com/watch?v=UlOt31lBhLY&t=254s,her and Amasa said never touch a woman you carried her you've done something very wrong,
4:19,259.6,264.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=259s,for which Yasmine very calmly looks at Nomi and says yes but I've dropped her half an hour ago.,
4:24,264.4,272.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=264s,It is you who's still carrying her. I love that story because it illustrates how much,
