item,listen,start_s,end_s,text,who_speaks (P/K/H/O/X),text_matches_audio (Y/N)
1,https://www.youtube.com/watch?v=YkIBYppBtro&t=1647s,1647.31,1649.55,Everything in your life must become meaningful.,,
2,https://www.youtube.com/watch?v=kMc_kat7YLE&t=352s,352.79,359.32,"Are you perceiving the divine to be a benevolent, compassionate being who cares for your happiness and well-being?",,
3,https://www.youtube.com/watch?v=YkIBYppBtro&t=593s,593.89,597.4,Why am I doing all this and for whose sake?,,
4,https://www.youtube.com/watch?v=YkIBYppBtro&t=1299s,1299.39,1309.29,Sometimes this expanded state of connection awakens you to the beauty of life and your purpose then becomes to celebrate existence itself.,,
5,https://www.youtube.com/watch?v=YkIBYppBtro&t=464s,464.65,470.38,Why am I in this relationship where we are so frequently misunderstanding each other?,,
6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1012s,1012.57,1016.47,Because you're so used to feeling being honest is right.,,
7,https://www.youtube.com/watch?v=_GEMrEWCiXw&t=1374s,1374.19,1376.45,So understand that there's no healthy comparison.,,
8,https://www.youtube.com/watch?v=nCkbv_lvFfg&t=706s,706.32,709.98,The third revolution was the discovery of internet and computing.,,
9,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=1409s,1409.53,1416.48,"Your cause could include your community your nation, animals, a forest or the earth.",,
10,https://www.youtube.com/watch?v=x-mTRlE0TC4&t=1212s,1212.62,1216.21,"In fact, we are just not talking about philosophy, but also we put into action.",,
11,https://www.youtube.com/watch?v=YkIBYppBtro&t=1232s,1232.82,1237.43,You awaken to the crisis of Mother Earth or any living beings around you.,,
12,https://www.youtube.com/watch?v=V45jIC4RthQ&t=546s,546.65,549.76,I'm here to teach you how to move into a limitless mind.,,
13,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=1236s,1236.3,1243.08,Living and achieving from such a state is what makes you spiritual.,,
14,https://www.youtube.com/watch?v=x-mTRlE0TC4&t=1653s,1653.14,1658.62,But the most important thing that you need to leave behind for the next generation is a state.,,
15,https://www.youtube.com/watch?v=nCkbv_lvFfg&t=1291s,1291.22,1296.7,"Understand like how satiation is followed by hunger, like excretion happens after digestion.",,
16,https://www.youtube.com/watch?v=1_-cZz8YRFw&t=257s,257.29,270.13,And in other instances perhaps you have not hurt others but you have disappointed yourself with the irresponsibility or save and lethargy.,,
17,https://www.youtube.com/watch?v=_GEMrEWCiXw&t=1021s,1021.52,1025.27,"But since you're stuck to this judgment, you will never see the truth.",,
18,https://www.youtube.com/watch?v=1_-cZz8YRFw&t=1436s,1436.22,1443.22,They are not conscious of the destructive impact of their words and actions unleashed in a state of hate.,,
19,https://www.youtube.com/watch?v=nCkbv_lvFfg&t=1206s,1206.84,1212.66,And definitely there is going to be a lot of misunderstanding in the way the body is communicating.,,
20,https://www.youtube.com/watch?v=V45jIC4RthQ&t=1416s,1416.85,1421.73,"However, women as a whole must take the responsibility of becoming whole into your own hands.",,
21,https://www.youtube.com/watch?v=YkIBYppBtro&t=435s,435.33,437.68,Have almost same conversations with family.,,
22,https://www.youtube.com/watch?v=nCkbv_lvFfg&t=1402s,1402.55,1410.14,Or you begin to fear losing what you have and you're constantly worrying about whom you should trust and whom you should not.,,
23,https://www.youtube.com/watch?v=kMc_kat7YLE&t=1500s,1500.1,1503.23,I have the strength and I have the power and let me jump up and down and go and do this.,,
24,https://www.youtube.com/watch?v=YkIBYppBtro&t=259s,259.59,268.76,"If you lived in a Beautiful State free of inner stress and if you held on to your own purpose, no matter what challenges surround you.",,
25,https://www.youtube.com/watch?v=kMc_kat7YLE&t=444s,444.51,448.73,But not all situations are as simple as this in this version of reality.,,
26,https://www.youtube.com/watch?v=kMc_kat7YLE&t=243s,243.0,247.67,The minister rushes to the aid of the king and gets him the necessary medical aid.,,
27,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1178s,1178.01,1181.47,"We are used to focusing so much on the outer world, we have lost on this.",,
28,https://www.youtube.com/watch?v=UlOt31lBhLY&t=203s,203.03,211.52,"The two monks, we just named them Yasmine and Nomi, they're returning back to the monastery and on the way they have to cross a river.",,
29,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=953s,953.2,958.47,"Whatever name you give, you are talking of an expanded state of consciousness.",,
30,https://www.youtube.com/watch?v=_GEMrEWCiXw&t=416s,416.51,423.0,"You see Mother Earth as someone who needs to keep giving you, giving you, giving you, and you taking and taking and taking from it.",,
31,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=530s,530.23,541.23,Challenges you can overcome with diligence but it is your fear that makes a mountain out of a molehill a Godzilla out of a garden lizard.,,
32,https://www.youtube.com/watch?v=nCkbv_lvFfg&t=374s,374.43,387.06,"Apart from looting India in the name of taxes, they ruined our education and created a structure that will only generate clerks who will be useful to the British Empire.",,
33,https://www.youtube.com/watch?v=YkIBYppBtro&t=713s,713.07,719.53,"To the way I relate or connect to the people around me after all these years, is it really necessary?",,
34,https://www.youtube.com/watch?v=YkIBYppBtro&t=1037s,1037.35,1044.79,"Imagine a Gandhi, a Shivaji, an Einstein, a Picasso going through either of these methods.",,
35,https://www.youtube.com/watch?v=YkIBYppBtro&t=438s,438.23,441.21,"Hit the gym, watch Netflix or news and go to bed.",,
36,https://www.youtube.com/watch?v=U23yKxWbIcI&t=1240s,1240.34,1245.3,"As this Beautiful State of connection grew stronger, a great solution opened up to him.",,
37,https://www.youtube.com/watch?v=UlOt31lBhLY&t=102s,102.17,104.67,"We feel if we get more wealthier, we'll become more happier.",,
